codigo_linha,LetreiroCompleto,DescricaoCompleto,Sentido,TipoLinhaDescricao,LinhaCircular,latitude,longitude,acessivel,periodo_do_dia,dia_semana,hr_atualizacao,data_ingestao
172J-10,172J-10,172J-10 - TATUAPÉ,Ida,Radial,Nao,-23.51888275,-46.59020525,Sim,Noite,Quarta,2025-12-03T23:29:48.000Z,2025-12-03T23:38:49.658Z
172K-10,172K-10,172K-10 - JD. TREMEMBÉ,Volta,Radial,Nao,-23.460689375,-46.60265925,Sim,Noite,Quarta,2025-12-03T23:29:43.000Z,2025-12-03T23:38:49.658Z
172K-10,172K-10,172K-10 - METRÔ TATUAPÉ,Ida,Radial,Nao,-23.49406025,-46.597854,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
172N-10,172N-10,172N-10 - METRÔ BELÉM,Ida,Radial,Nao,-23.5127015,-46.585348499999995,Sim,Noite,Quarta,2025-12-03T23:29:53.000Z,2025-12-03T23:38:49.658Z
172N-10,172N-10,172N-10 - SHOP. CENTER NORTE,Volta,Radial,Nao,-23.515946749999998,-46.61641775,Sim,Noite,Quarta,2025-12-03T23:29:52.000Z,2025-12-03T23:38:49.658Z
172P-10,172P-10,172P-10 - METRÔ BELÉM,Ida,Radial,Nao,-23.437303,-46.56643425,Sim,Noite,Quarta,2025-12-03T23:29:52.000Z,2025-12-03T23:38:49.658Z
172P-10,172P-10,172P-10 - VL. ZILDA,Volta,Radial,Nao,-23.499056000000003,-46.5947155,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
172R-10,172R-10,172R-10 - JAÇANÃ,Volta,Radial,Nao,-23.4660115,-46.5801615,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
172R-10,172R-10,172R-10 - METRÔ BELÉM,Ida,Radial,Nao,-23.517969,-46.589489625,Sim,Noite,Quarta,2025-12-03T23:29:50.000Z,2025-12-03T23:38:49.658Z
172U-10,172U-10,172U-10 - CEM. PQ. DOS PINHEIROS,Volta,Radial,Nao,-23.543760875,-46.6047688125,Sim,Noite,Quarta,2025-12-03T23:29:47.000Z,2025-12-03T23:38:49.658Z
172U-10,172U-10,172U-10 - MOOCA,Ida,Radial,Nao,-23.539895,-46.61106075,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
